dep;semaine;sursaud_cl_age_corona;Nbre_pass_Corona;Nbre_pass_tot;Nbre_hospit_Corona;Nbre_acte_corona;Nbre_acte_tot
01;2020-S10;0;0;1929;0;;
01;2020-S10;A;0;351;0;;
01;2020-S10;B;0;751;0;;
01;2020-S10;C;0;371;0;;
01;2020-S10;D;0;172;0;;
01;2020-S10;E;0;284;0;;
01;2020-S11;0;29;1899;9;;
01;2020-S11;A;1;349;0;;
01;2020-S11;B;11;753;3;;
01;2020-S11;C;8;384;2;;
01;2020-S11;D;2;174;1;;
01;2020-S11;E;7;239;3;;
01;2020-S12;0;84;1196;35;;
01;2020-S12;A;2;185;0;;
01;2020-S12;B;27;445;3;;
01;2020-S12;C;31;271;15;;
01;2020-S12;D;14;104;12;;
01;2020-S12;E;10;191;5;;
01;2020-S13;0;232;1257;94;;
01;2020-S13;A;0;122;0;;
01;2020-S13;B;76;404;14;;
01;2020-S13;C;88;344;30;;
01;2020-S13;D;42;174;31;;
01;2020-S13;E;26;213;19;;
01;2020-S14;0;207;1238;89;;
01;2020-S14;A;5;129;1;;
01;2020-S14;B;70;439;10;;
01;2020-S14;C;66;313;26;;
01;2020-S14;D;22;153;13;;
01;2020-S14;E;44;204;39;;
01;2020-S15;0;137;1225;62;;
01;2020-S15;A;3;134;1;;
01;2020-S15;B;36;411;4;;
01;2020-S15;C;48;328;23;;
01;2020-S15;D;22;144;11;;
01;2020-S15;E;28;208;23;;
01;2020-S16;0;90;1198;41;;
01;2020-S16;A;0;151;0;;
01;2020-S16;B;28;410;5;;
01;2020-S16;C;24;302;7;;
01;2020-S16;D;7;133;5;;
01;2020-S16;E;31;202;24;;
01;2020-S17;0;62;1226;25;;
01;2020-S17;A;0;150;0;;
01;2020-S17;B;20;421;1;;
01;2020-S17;C;22;307;11;;
01;2020-S17;D;8;149;2;;
01;2020-S17;E;12;199;11;;
02;2020-S10;0;57;2887;11;2;2376
02;2020-S10;A;5;669;4;0;643
02;2020-S10;B;31;1013;3;0;1048
02;2020-S10;C;19;528;2;1;368
02;2020-S10;D;0;250;0;1;115
02;2020-S10;E;2;427;2;0;159
02;2020-S11;0;96;2708;33;33;2631
02;2020-S11;A;0;676;0;5;748
02;2020-S11;B;35;933;3;16;1140
02;2020-S11;C;27;501;8;9;429
02;2020-S11;D;18;234;10;1;119
02;2020-S11;E;16;363;12;2;170
02;2020-S12;0;177;1618;78;119;1650
02;2020-S12;A;1;294;0;20;417
02;2020-S12;B;43;534;9;53;717
02;2020-S12;C;59;356;26;29;286
02;2020-S12;D;26;170;15;9;95
02;2020-S12;E;48;263;28;4;106
02;2020-S13;0;447;1621;150;199;1338
02;2020-S13;A;4;223;1;10;240
02;2020-S13;B;153;532;14;122;577
02;2020-S13;C;138;419;37;38;256
02;2020-S13;D;72;180;45;12;95
02;2020-S13;E;80;267;53;16;151
02;2020-S14;0;478;1620;149;116;1026
02;2020-S14;A;3;207;0;6;177
02;2020-S14;B;157;526;12;69;450
02;2020-S14;C;158;401;30;27;212
02;2020-S14;D;69;195;47;7;66
02;2020-S14;E;91;291;60;5;107
02;2020-S15;0;366;1696;107;83;986
02;2020-S15;A;3;242;1;8;161
02;2020-S15;B;112;551;9;42;425
02;2020-S15;C;124;428;24;15;193
02;2020-S15;D;36;182;20;5;71
02;2020-S15;E;91;293;53;12;125
02;2020-S16;0;278;1707;108;65;883
02;2020-S16;A;0;264;0;7;168
02;2020-S16;B;83;570;11;36;364
02;2020-S16;C;71;339;19;15;189
02;2020-S16;D;44;198;23;3;68
02;2020-S16;E;80;334;55;3;85
02;2020-S17;0;238;1845;88;34;915
02;2020-S17;A;0;275;0;3;183
02;2020-S17;B;66;620;9;20;382
02;2020-S17;C;68;454;18;5;180
02;2020-S17;D;33;190;22;1;66
02;2020-S17;E;71;306;39;4;100
03;2020-S10;0;0;1195;0;;
03;2020-S10;A;0;182;0;;
03;2020-S10;B;0;436;0;;
03;2020-S10;C;0;228;0;;
03;2020-S10;D;0;107;0;;
03;2020-S10;E;0;242;0;;
03;2020-S11;0;30;1240;28;;
03;2020-S11;A;2;205;1;;
03;2020-S11;B;19;436;19;;
03;2020-S11;C;8;256;7;;
03;2020-S11;D;0;122;0;;
03;2020-S11;E;1;221;1;;
03;2020-S12;0;103;678;64;;
